movie title,review,sentiment
Scarface,"One Word: PERFECT!!!!!!! Scarface has a great storyline, brutal violence as well as having Al Pacino at one of his finest roles. Scarface is one of the best gangster dramas!",positive
Scarface,"Grandiose, bloodyminded and implacable. This is one of my all time favorites. If the movie has a flaw, it's that it comes at you like a raging bull. It doesn't so much engage the viewer as assault him. ''Scarface'' is as voracious and unyielding a production as Tony Montana himself. Nothing is left to the viewer's imagination. Moroder's languorous synthpop fits the action to a tee. Like the chorus in a Greek tragedy, it wails and gnashes, broods and tugs, a constant reminder of Tony's inexorable fate. Not so much a tale of caution as a disaster in progress, ''Scarface'' rips across the screen with the unstoppable force of a runaway train.",positive
Scarface,"highly overrated. Everyone has heard of this movie. The general assumption is that this movie is one of the greatest gangster films that there is. I am inclined to disagree with this. Yes this movie has some great moments, but it does not deserve the credit it gets.
Al Pacino is a great actor, and I don't deny this, but there are to many times in this movie where he seems to overplay the part. Michelle Pfiefer is horrible in this movie, probably her worst performance ever. As for most of the other actors who did not make it big, it is very much because they're not good actors. Al Pacino's brother in the movie seems totally scripted.
Anyway, as for the plot, it is boring, and overused. Man gets rich, and the people he stepped on to get there come after him. It's boring and predictable because of this. If I were doing this movie, I would cut so much. We don't need the restaurant scenes which do not advance the movie. We do not need a scene with Al pacino in a hot tub having the same argument he had around 5 other times in the movie.",negative
Scarface,"The movie that wasn't a movie... It is nice to see the likes of Oliver Stone, Brian DePalma, Al Pacino, and even Michelle Pfiefer make one monumental piece of cinematic garbage. It is nice to see people so rich and 'successful' wasting their time on one of the most forgettable, trite, and pathetic pieces of film-making of all time. This movie represents the worst of Hollywood.

What is this? Is it based on a true story. Well, they do start with some basic news bites and facts that they read off USA today. But then the movie departs to some fantasy world and a 'cuban' refugee going to make it in the American drug subculture; kind of like Rocky on cocaine. Is it a movie about Cuba or Cubans? For the life of me I don't believe there is a single Cuban in this movie. The accents are totally fake, and scene with Antonio's mother looks like a poster for midwest American values. The whole scene looks like something out of the Dick Van Dyke show. Is this movie about Miami? It looks more like L.A. transposed in Florida. Afterall, a palm tree is a palm tree. Is this a romance novel. The relationship between Pacino and Pfeiffer is so obvious from the getgo, and there is not one shred of possibility that these two characters could ever care for each other. Is this a drug movie? Well, no issues of obsession or addiction are even mentioned. The behavior of the actors after a line of coke is nothing different than had they had a drink of water. Admittedly, the acting is terrible.

Let's get to the rest. The music is disgusting and sounds like latin elevator music or something out of a Lawrence Welk show. I think I heard a polka? The camera work is shoddy with too much movement and far more cranes than could ever be effective. Clearly, the photography budget was excessive. The sound is bleached in a number of spots, and the dialogue seems to be carried out in a warehouse. The writing is appalling. This is one of those movies were the script writes itself. You are dragged from one trite piece of dialogue to the next, each pushing the plot like a sack of bricks.

So I am going to ask, Is this even a movie? It could be a drama series patched together for two and a half hours. But at least a drama series has some kind of focus. Maybe it is just a bunch of poorly acted scenes taped together. Whatever it is, movie or not, it is a piece of crap.",negative
Star Wars: Episode VI - Return of the Jedi,"The Boy Who Loved ""Star Wars"" A long time ago, in a galaxy far, far away.....There was a boy who was only two years old when the original ""Star Wars"" film was released. He doesn't remember first seeing the movie, but he also doesn't remember life before it. He does remember the first ""Star Wars"" themed gift he got...a shoebox full of action figures from the original set. He was too young to fully appreciate how special that gift would be. But years later, he would get what to this day goes down as one of the best gifts he's ever received: another box full of action figures, ten of the final twelve he needed to complete his collection. It's now legendary in this boy's family how the last action figure he needed, Anakin Skywalker, stopped being produced and carried in stores, and how this boy went for about ten years (until he got into college) trying to track one down and finally bought it from someone on his dorm floor for a bag of beer nuggets (don't ask...it's a Northern Illinois University thing).

I can't review ""Star Wars"" as a movie. It represents absolutely everything good, fun and magical about my childhood. There's no separating it in my mind from Christmases, birthdays, summers and winters growing up. In the winter, my friends and I would build snow forts and pretend we were on Hoth (I was always Han Solo). My friends' dad built them a kick-ass tree house, and that served as the Ewok village. They also had a huge pine tree whose bottom branches were high enough to create a sort of cave underneath it, and this made a great spot to pretend we were in Yoda's home. I am unabashedly dorky when it comes to ""Star Wars"" and I think people either just understand that or they don't. I don't get the appeal of ""Lord of the Rings"" or ""Star Trek"" but I understand the rabid flocks of fans that follow them because I am a rabid fan of George Lucas's films.

I feel no need to defend my opinion of these movies as some of the greatest of all time. Every time I put them in the DVD player, I feel like I'm eight years old again, when life was simple and the biggest problem I had was figuring out how I was going to track down a figure of Anakin Skywalker.

Grade (for the entire trilogy): A+",Positive
Star Wars: Episode VI - Return of the Jedi,"The most peculiar Star Wars and under appreciated. Totally should've won at least some of the awards it was nominated for! A very different adventure story with lots of adorable characters, more truths and the epic Emperor Palpatine! I love all the majestic forest aspects. Still crazy to me that they filmed so many parts especially the chases. The bulk of this art in cinema is done so well and always entertaining. Quite lovable many years later and not many movies have that kind of force!",Positive
Star Wars: Episode VI - Return of the Jedi,"Uhhgg! Spoilers: I remember looking so forward to this as a kid after loving the first two movies. They had previews for new characters on the back of the action figures boxes I'd get at Toys-R-Us and I'd eagerly wonder what the blacked out Ewok characters would look like. Must have really been something special! I even remember how they switched the name around as ""Revenge of the Jedi."" This was just going to be THE movie of the summer, and waiting in line to get in while hearing the thunderous noise of the climactic battle as the audience of the screening just wrapping up applauded enthusiastically, I was just SO excited. When I saw it even as a kid I knew it was somewhat of a disappointment, watching it now as an adult...Uhgg! Now I see how Lucas went so wrong with the abomination of the prequels, all the threads started to unravel with this Turkey. (Though Return of the Jedi is still much superior to those aforementioned prequels which had a plot harder to follow than Dune.) First of all are notoriously unbearable Ewoks, even as a kid I HATED them. No adult could possibly find anything watchable about the whole Ewok sequence on Endor. The Emperor is ridiculously ""comic book"" evil, tyrants usually have charisma and are more like gangsters than lunatics. The choice to add another family revelation by making Leah Luke's sister is stupid and ruins the relationship from the first two movies. The original Cantina scene with the various aliens was creative, here Lucas has gone overboard with a new bizarre rubber masked actor or puppet cropping up every minute. In some respects this whole thing is nothing more than a commercial to sell action figures to eight year olds. And the Climax: Another Deathstar? Lucas, you already did that before, but considering the fecal ideas he spewed out in the prequels, perhaps a rehashing of the end of the first movie was the best we could hope for. After all, to sum up the cinematic ideas going through Lucas' head during this period: Howard the Duck. Don't even get me started on the vandalism Lucas did to the Original Trilogy with the CGI additions to the new copys of the Star Wars movies for sale. The original 1977 print is a piece of American History, to alter the imagery that swept the nation that summer is akin to someone painting over the Mona Lisa.

Still Return of the Jedi it did have it's moments. The Jabba the Hut character is ubiquitously reknown and to this day everyone knows what your talking about if you refer to any gluttonous tard as ""Jabba the Hut."" The chase scene through the Redwoods is also quite memorable although the excitement came to a quick end with the ridiculously infantile Ewok scenes beginning moments later. The final showdown between Luke and Vader was also a glimpse of what this movie could have been had the same people who worked on The Empire Strikes Back had control over this thing. On the whole, a disappointing, childish end to the first two movies.",negative
Star Wars: Episode VI - Return of the Jedi,"Easily my least favorite of the first three films. WAY too much cutesy-poo, some below-par special effects, and the *worst* extras in the business -- remember the guy who says ""You Rebel Scum?"" How about 87 different Imperials saying ""Freeze! -- Don't move!"" at different points? What is this, a bad 70's cop show?
I have heard rumors that Lucas originally planned to have Endor populated by Wookies, which would have been *far* more interesting than those obnoxious little Ewoks, who simply stretched my credulity past the breaking point. I mean, the Storm Troopers have *helmets* on -- yet a 3-foot teddy bear with a stick can take one down with a couple of ineffectual whacks to the head? Please...",negative
The A-Team,"One of the best 80s shows ever.
80s shows were the best and this was defiantly in the top 3. Takes you back to a time when people wasn't a bunch of fairy's and didn't get offended for the simpliest of things. The theme tunes were second to none not like the rubbish these days. Dukes of Hazzard, Knight Rider, Battlestar Galactica, Street Hawk, The Fall Guy, Quantum Leap, Magnum PI, Macguyver, Buck Rogers all classics.",positive
The A-Team,"Action show that is a cartoon
The A-Team is pure silly and pretentious as it struggles to be a good action series and hear is the justification for my claim based upon long analysis and evidence. First of all i do not expect Shakespeare but a good action show with a stable scenario. The only positive thing i can say is that the Van was iconic. Besides from that the characters are too juvenile and foolish to be ex-Vietnam vets(notably Mr T) along with pseudo-crime based story lines with cheesy action. If they were mercenaries it would be more believable but that would contradict their roles as Robin Hood figures leaving them vulnerable to corruption not good for television heroes. Firstly every crime they tackle they would of been easily caught or head hunted and secondly they would of not done a service for nothing unless their was personal gain rather then sentimentality. If the A-team had been an American independent copy of the British series the Professionals it would have a stable theme basis that would be dramatically coherent and an action show that deals in high crime rather then Police mainstream crime with hard action, hardy deep characters, good story lines, fast cars and the late George Peppard as their boss and perhaps done earlier then when it originally came out when action shows like this where more at there height",negative
